school_name,school_type,address,homepage
신일고등학교,고등학교,서울특별시 강북구 솔매로49길 20,http://www.shin-il.hs.kr
신진과학기술고등학교,고등학교,서울특별시 은평구 은평로6길 16,http://shinjin.sen.hs.kr
신현고등학교,고등학교,서울특별시 중랑구 봉화산로 174,http://shinhyeon.sen.hs.kr
압구정고등학교,고등학교,서울특별시 강남구 압구정로39길 20,http://apgujeong.sen.hs.kr
양재고등학교,고등학교,서울특별시 서초구 남부순환로346길 9,http://yangjae.sen.hs.kr
양정고등학교,고등학교,서울특별시 양천구 안양천로 1039,http://www.yangchung.hs.kr
양천고등학교,고등학교,서울특별시 양천구 신정로14길 13,http://www.yangcheoncschool.net
언남고등학교,고등학교,서울 서초구 동산로13길 35,http://eonnam.sen.hs.kr
여의도고등학교,고등학교,서울특별시 영등포구 국제금융로7길 37,http://yeouido.hs.kr
여의도여자고등학교,고등학교,서울특별시 영등포구 국제금융로7가길 13,http://www.yeouido-gh.hs.kr
염광고등학교,고등학교,서울특별시 노원구 월계로45가길 9,http://yumkwang.hs.kr
염광메디텍고등학교,고등학교,서울특별시 노원구 월계로45가길 9,http://ykm.sen.hs.kr
영동고등학교,고등학교,서울특별시 강남구 선릉로 742,yd.sen.hs.kr
영동일고등학교,고등학교,서울특별시 송파구 석촌호수로 93,http://www.ydi.hs.kr
영등포고등학교,고등학교,서울특별시 동작구 등용로8길 5,http://www.ydp.hs.kr
영등포공업고등학교,고등학교,서울특별시 강서구 허준로5길 15,https://younggong.sen.hs.kr
영등포여자고등학교,고등학교,서울특별시 영등포구 영등포로62길 13,http://ydpg.hs.kr
영락고등학교,고등학교,서울특별시 관악구 청룡16길 25,https://yrgo.sen.hs.kr/
영락의료과학고등학교,고등학교,서울특별시 관악구 청룡16길 25,http://youngnak-c.sen.hs.kr
영신간호비즈니스고등학교,고등학교,서울특별시 노원구 중계로16나길 13,http://youngshin.sen.hs.kr
영신고등학교,고등학교,서울 영등포구 대방천로14길 18,http://www.ysh.or.kr
영신여자고등학교,고등학교,서울특별시 노원구 중계로16나길 13,http://ys.sen.hs.kr
영일고등학교,고등학교,서울특별시 강서구 등촌로51가길 26,http://youngil.hs.kr
영파여자고등학교,고등학교,서울특별시 송파구 올림픽로 565,http://youngpa.hs.kr
영훈고등학교,고등학교,서울특별시 강북구 도봉로13가길 19,http://www.younghoon.hs.kr
예림디자인고등학교,고등학교,서울특별시 구로구 오리로21길 2,http://yerim.sen.hs.kr
예일디자인고등학교,고등학교,서울특별시 은평구 연서로 117,http://yaledesign.sen.hs.kr
예일여자고등학교,고등학교,서울특별시 은평구 연서로 117,www.yale.hs.kr
오금고등학교,고등학교,서울특별시 송파구 중대로 247,http://ogeum.sen.hs.kr
오류고등학교,고등학교,서울특별시 구로구 오리로21길 2,http://oryu.hs.kr
오산고등학교,고등학교,서울특별시 용산구 보광로7길 17,http://www.osan.hs.kr
