built_year,officetel_name,trade_price,contract_date,net_leasable_area,address,legal_code,floor,ward,price_per_area
2022,씨모어,39604,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,9,용산구,1611.2286411716843
2022,씨모어,39604,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,9,용산구,1611.2286411716843
2022,씨모어,40325,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,10,용산구,1640.5614320585844
2022,씨모어,40325,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,10,용산구,1640.5614320585844
2022,씨모어,40119,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,10,용산구,1632.1806346623273
2022,씨모어,40119,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,10,용산구,1632.1806346623273
2022,씨모어,40119,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,10,용산구,1632.1806346623273
2022,씨모어,40119,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,10,용산구,1632.1806346623273
2022,씨모어,39604,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,7,용산구,1611.2286411716843
2022,씨모어,39604,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,7,용산구,1611.2286411716843
2022,씨모어,39398,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,7,용산구,1602.8478437754272
2022,씨모어,39398,20230106,24.58,서울특별시 용산구 원효로2가,1117011300,7,용산구,1602.8478437754272
2003,e테크밸리,23000,20231102,38.12,서울특별시 용산구 원효로3가,1117011700,10,용산구,603.3578174186779
2003,e테크밸리,22000,20231205,38.12,서울특별시 용산구 원효로3가,1117011700,9,용산구,577.1248688352571
2012,프라임펠리스,16300,20230102,18.55,서울특별시 용산구 문배동,1117012200,11,용산구,878.7061994609164
2013,용산큐브,19500,20230108,17.46,서울특별시 용산구 문배동,1117012200,13,용산구,1116.8384879725086
2013,용산큐브,19500,20230130,17.46,서울특별시 용산구 문배동,1117012200,6,용산구,1116.8384879725086
2017,용산푸르지오써밋,70000,20230109,40.8135,서울특별시 용산구 한강로2가,1117012500,25,용산구,1715.1187719749594
2012,위너스타워,60000,20231103,30.24,서울특별시 용산구 한강로2가,1117012500,9,용산구,1984.1269841269843
2009,파크타워,220000,20230120,150.6,서울특별시 용산구 용산동5가,1117012700,15,용산구,1460.8233731739708
1990,(16-91),27000,20230104,39.03,서울특별시 용산구 한강로3가,1117012800,7,용산구,691.7755572636433
1991,삼구빌딩,17700,20230120,39.84,서울특별시 용산구 한강로3가,1117012800,18,용산구,444.2771084337349
2003,노블리안,20750,20231109,30.81,서울특별시 성동구 상왕십리동,1120010100,13,성동구,673.482635507952
2019,센트럴큐브,29000,20230120,35.22,서울특별시 성동구 상왕십리동,1120010100,4,성동구,823.3957978421352
2005,동인 레반트 오피스텔,16500,20230102,27.54,서울특별시 성동구 하왕십리동,1120010200,10,성동구,599.1285403050109
2011,리오파크 오피스텔,14500,20230110,24.07,서울특별시 성동구 하왕십리동,1120010200,14,성동구,602.4096385542168
2018,W에비뉴타워,25000,20230109,23.32,서울특별시 성동구 도선동,1120010400,13,성동구,1072.041166380789
2018,W에비뉴타워,23000,20231103,23.32,서울특별시 성동구 도선동,1120010400,10,성동구,986.2778730703259
1988,(797-16),10950,20230107,24.6,서울특별시 성동구 마장동,1120010500,5,성동구,445.12195121951214
2014,서울숲 더샵,41000,20230109,36.52,서울특별시 성동구 행당동,1120010700,2,성동구,1122.6725082146768
2006,왕십리역이스타빌,21000,20231106,26.22,서울특별시 성동구 행당동,1120010700,9,성동구,800.9153318077804
2003,성수동 뉴타운오피스텔,23500,20230107,32.76,서울특별시 성동구 성수동1가,1120011400,9,성동구,717.3382173382174
2004,이에스에이리버하우스,40000,20231208,39.15,서울특별시 성동구 성수동1가,1120011400,9,성동구,1021.7113665389528
2003,성원상떼뷰오피스텔,20700,20230110,40.94,서울특별시 성동구 성수동2가,1120011500,9,성동구,505.6179775280899
2016,서희스타힐스리버파크,13500,20230106,20.21,서울특별시 성동구 용답동,1120012200,4,성동구,667.9861454725383
2017,리아리움더언타워,17500,20231107,14.3,서울특별시 광진구 중곡동,1121510100,8,광진구,1223.7762237762238
2003,와이엔 오피스텔,13200,20231108,26.82,서울특별시 광진구 구의동,1121510300,3,광진구,492.17002237136467
2003,센트럴빌,18600,20231109,32.19,서울특별시 광진구 구의동,1121510300,10,광진구,577.8191985088537
2022,광진 더프레236,85525,20231206,94.68,서울특별시 광진구 구의동,1121510300,3,광진구,903.3058724123363
2022,광진 더프레236,85525,20231206,94.68,서울특별시 광진구 구의동,1121510300,3,광진구,903.3058724123363
